,Boat,Price,Size,Hull
0, Protector Twin 350 hp Mercury Verado ," $565,000 ", 12.5m ," fibreglass hull, 2019 "
1, 2022 Nimbus T11 ," $898,521 ", 350HP ," outboard engine, 180 hrs, 2019 "
2, Fi-Glass Cavalier 5.4 mtr ," $55,000 ", 12.4m ," fibreglass hull, 2022 "
3, 2016 SURTEES 575 WORKMATE HARDTOP ," $65,000 ", 300HP , outboard engine 
4, Wild Cat 3.3m with 8hp Honda 4 stroke ," $3,800 ", 5.4m ," fibreglass hull, 2017 "
5, Surtees 5.8 Game fisher ," $82,000 ", 115HP ," outboard engine, 36 hrs, 2017 "
6, 2017 Chris Craft 34 Launch ," $451,328 ", 5.75m ," aluminium hull, 2016 "
7, 2019 Sea Ray SPX 190 ," $125,000 ", 115HP ," outboard engine, 2016 "
8, Rayglass 4000 ," $375,000 ", 3.3m ," inflatable hull, 2020 "
9, Classic Hartley Boat ," $1,000 ", 8HP , outboard engine 
10, Fyran Rebel 4 Stroke 90 ( Honda) 56 hours ," $36,000 ", 5.8m , aluminium hull 
11, 2016 Stabicraft 1850 Hardtop ," $75,000 ", 10.4m , outboard engine 
12, Stabicraft 1550 Frontier ," $80,000 ", 300HP ," fibreglass hull, 2017 "
13, Extreme 645 gameking ," $75,000 ", 5.49m ," twin inboard engine, 119 hrs "
14, STABICRAFT 2250 ULTRACAB WT ," $124,990 ", 200HP ," fibreglass hull, 2019 "
15, Domain 560 Hard Top ," $289,900 ", 12.5m ," inboard engine, 20 hrs "
16, 1998 Black Watch 40 Ft Sport-Fisher Sport Fisher ," $76,995 ", 320HP ," fibreglass hull, 2006 "
17, Rayglass Cruisemaster 7.3m ," $599,000 ", 4.574m ," twin inboard engine, 1150 hrs, 2006 "
18, 2021 Buccaneer 685 Excess ," $69,900 ", 40HP , wooden hull 
19, Stabicraft 1550 Frontier ," $179,995 ", 5.3m , outboard engine 
20, 2022 FiGlass Dominator 510 Dominator Cuddy Cabin ," $101,500 ", 90HP ," aluminium hull, 2007 "
21, 2022 Stabicraft 1550 Frontier Profish ," $49,350 ", 5.7m ," outboard engine, 56 hrs, 2007 "
22,," $101,990 ", 115HP ," aluminium hull, 2016 "
23,,, 4.75m ," outboard engine, 210 hrs, 2016 "
24,,, 75HP ," aluminium hull, 2017 "
25,,, 6.45m ," outboard engine, 2017 "
26,,, 150HP ," aluminium hull, 2022 "
27,,, 6.861m ," outboard engine, 1 hrs, 2022 "
28,,, 300HP ," aluminium hull, 2022 "
29,,, 5.6m ," outboard engine, 5 hrs, 2022 "
30,,, 90HP , aluminium hull 
31,,, 11.99m , outboard engine 
32,,, 430HP ," fibreglass hull, 1998 "
33,,, 7.3m ," twin inboard engine, 9500 hrs "
34,,, 260HP ," fibreglass hull, 2002 "
35,,, 6.85m ," inboard engine, 1200 hrs, 2002 "
36,,, 225HP ," fibreglass hull, 2021 "
37,,, 4.72m ," outboard engine, 12 hrs "
38,,, 75HP , aluminium hull 
39,,, 5.1m , outboard engine 
40,,, 75HP ," fibreglass hull, 2022 "
41,,, 4.8m , other engine 
42,,, 75HP ," aluminium hull, 2022 "
43,,,, other engine 
