,Featured,Article,Intro
0,GeeksforGeeks Job-A-Thon Exclusive – Hiring Challenge For Amazon Alexa,"<img src=""https://media.geeksforgeeks.org/wp-content/cdn-uploads/20220805183149/image16.png"" alt=""Write It Up: Share Your Interview Experiences"">",Come write articles for us and get featured
1,Learn with GeeksforGeeks Course – Best Courses To Land Job In Your Dream Company,Learn and Earn with GeeksforGeeks Referral Program,Learn and code with the best industry experts
2,GFG Summer Break Challenge 2022 – FREE Weekly DSA Coding Contest Series,10 Tips and Tricks For Placement Interviews,"Get access to ad-free content, doubt assistance and more!"
3,SDE SHEET – A Complete Guide for SDE Preparation,Minimize moves to segregate even and odd by swapping adjacent elements,Come and find your dream job with us
4,"Must Do Coding Questions for Companies like Amazon, Microsoft, Adobe, …",Talentica Interview Experience for Senior Software Developer Full Time,"Since we are receiving so many interview experiences, we have great news to share with you. Therefore, we are moving this event’s date up to… <span class=""read-more""><a href=""https://www.geeksforgeeks.org/write-it-up-share-your-interview-experiences/"">Read More</a></span>"
5,,Aon Hewitt Interview Experience for HR Admin Executive (Facility) Full Time,"When was the last time you earned a few bucks while learning? Can you remember it? If not, then the time is right now. Yes,… <span class=""read-more""><a href=""https://www.geeksforgeeks.org/learn-and-earn-with-geeksforgeeks-referral-program/"">Read More</a></span>"
6,,Cisco Interview Experience for Internship 2022-23 (On-Campus) Virtual,"What comes next when you finish your graduation? The ultimate goal is to get a handsome job to add more charm to it, right. So,… <span class=""read-more""><a href=""https://www.geeksforgeeks.org/10-tips-and-tricks-for-placement-interviews/"">Read More</a></span>"
7,,Virtusa Interview Experience (On-Campus) 2023,"Given an array arr[] of size N, the task is to find the minimum moves to segregate even and odd numbers by swapping two adjacent… <span class=""read-more""><a href=""https://www.geeksforgeeks.org/minimize-moves-to-segregate-even-and-odd-by-swapping-adjacent-elements/"">Read More</a></span>"
8,,GammaStack Interview Experience for Solution Engineer,"The company recruiting team contacted me for the Backend Developer (Java). After my CV shortlisting I got a call for the interviews. Round 1: Culture… <span class=""read-more""><a href=""https://www.geeksforgeeks.org/talentica-interview-experience-for-senior-software-developer-full-time/"">Read More</a></span>"
9,,Rearrange Array to maximize sum of MEX of all Subarrays starting from first index,"Ah! This is a question that reminds me of moments I live in a day. !!I will share my first interview. The selection procedure for… <span class=""read-more""><a href=""https://www.geeksforgeeks.org/aon-hewitt-interview-experience-for-hr-admin-executive-facility-full-time/"">Read More</a></span>"
10,,Maximum Partitions such that any two numbers from two Subsets are co-prime,"Cisco recently visited the IIT BHU campus to offer a 2-month internship for the upcoming summer of 2023. An online coding round was conducted on… <span class=""read-more""><a href=""https://www.geeksforgeeks.org/cisco-interview-experience-for-internship-2022-23-on-campus-virtual/"">Read More</a></span>"
11,,Lexicographically smallest and largest string possible via Transitive mapping,"Virtusa came to our college in July 2022. It was an On-Campus recruitment drive. There were two roles: Regular Coder Power Coder It consists of… <span class=""read-more""><a href=""https://www.geeksforgeeks.org/virtusa-interview-experience-on-campus-2023/"">Read More</a></span>"
12,,Maximize frequency of an element by adding X to a Subsequence,"Hi, I am a Solution Engineer @GammaStack. GammaStack came as a campus recruiter. This was an on-campus opportunity. The hiring process in the company is… <span class=""read-more""><a href=""https://www.geeksforgeeks.org/gammastack-interview-experience-for-solution-engineer/"">Read More</a></span>"
13,,Check if a String can be converted to another by inserting character same as both neighbours,"Given an array arr[] of N elements ranging from 0 to N-1(both included), the task is to rearrange the array such that the sum of… <span class=""read-more""><a href=""https://www.geeksforgeeks.org/rearrange-array-to-maximize-sum-of-mex-of-all-subarrays-starting-from-first-index/"">Read More</a></span>"
14,,Check if there is a missing Subsequence of size K in given Array,"Given an array arr[] of length N, the task is to find the maximum number of subsets that can be obtained from the given array… <span class=""read-more""><a href=""https://www.geeksforgeeks.org/maximum-partitions-such-that-any-two-numbers-from-two-subsets-are-co-prime/"">Read More</a></span>"
15,,Infosys Interview Experience for DSE 2023,"Given two strings str1 and str2 containing lowercase letters. The task is to convert the given string str3 into lexicographically smallest and largest string that… <span class=""read-more""><a href=""https://www.geeksforgeeks.org/lexicographically-smallest-and-largest-string-possible-via-transitive-mapping/"">Read More</a></span>"
16,,Bosch Global Software Technologies Interview Experience,"Given an array A[] of size N, the task is to maximize the frequency of any element by adding any positive integer X to all… <span class=""read-more""><a href=""https://www.geeksforgeeks.org/maximize-frequency-of-an-element-by-adding-x-to-a-subsequence/"">Read More</a></span>"
17,,,"Given 2 strings A and B . The task is to check if A can be converted into B by performing the following operation any… <span class=""read-more""><a href=""https://www.geeksforgeeks.org/check-if-a-string-can-be-converted-to-another-by-inserting-character-same-as-both-neighbours/"">Read More</a></span>"
18,,,"Given an array of size N and two integers M and K., All the integers in the array are in the range [1, M]. Find… <span class=""read-more""><a href=""https://www.geeksforgeeks.org/check-if-there-is-a-missing-subsequence-of-size-k-in-given-array/"">Read More</a></span>"
19,,,"I participated in the InfyTQ certification exam conducted by Infosys for the 2023 batch. It was conducted on 7th Feb 2022. The Certification round consisted… <span class=""read-more""><a href=""https://www.geeksforgeeks.org/infosys-interview-experience-for-dse-2023-3/"">Read More</a></span>"
20,,,"Bosch Global Software Technologies’ hiring process for freshers consists of an Aptitude test and 1 coding question. After the clearance of aptitude and coding, you… <span class=""read-more""><a href=""https://www.geeksforgeeks.org/bosch-global-software-technologies-interview-experience/"">Read More</a></span>"
